"","year","donor","recipient","aiddata_sector_name","crs_sector_name","commitment_amount_usd_constant"
"931130",2000,"Finland","Croatia","Emergency response","XI. Refugees in Donor Countries",257960
"931201",2000,"Germany","Croatia","","XI. Refugees in Donor Countries",43738
"932214",2001,"Norway","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",96796
"932772",2008,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",78272
"933425",2004,"United Nations Development Programme (UNDP)","Croatia","Other","IV.2. Other Multisector",26540
"933503",2001,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",48278
"933621",1999,"Sweden","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",982597
"933746",2004,"Austria","Croatia","","I.1.a. Education, Level Unspecified",59771
"933801",2003,"Italy","Croatia","Tourism","III.3.b. Tourism",347028
"934057",2004,"Italy","Croatia","","I.1.d. Post-Secondary Education",7529
"934121",2004,"Austria","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",56905
"934455",2008,"European Communities (EC)","Croatia","Transport and storage","II.1. Transport & Storage",25781823
"935209",2000,"European Communities (EC)","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",2541109
"935485",2001,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1836683
"935492",2006,"Switzerland","Croatia","Other","IV.2. Other Multisector",7149
"935608",2003,"France","Croatia","Communications","I.6. Other Social Infrastructure & Services",18929
"935750",2003,"France","Croatia","","I.1.d. Post-Secondary Education",36893
"936530",1998,"Spain","Croatia","","I.1.d. Post-Secondary Education",15326
"936606",2007,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",143808
"936924",2007,"European Communities (EC)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",16607032
"937031",2005,"Norway","Croatia","Emergency response","VIII.1. Emergency Response",152672
"937088",2001,"Norway","Croatia","Government and civil society, general","I.6. Other Social Infrastructure & Services",2734358
"942855",1994,"Italy","Croatia","","I.1.d. Post-Secondary Education",375882
"944913",1992,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",118018
"948546",1994,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",330286
"950101",1994,"United States","Croatia","","VI.2. Dev. Food Aid/Food Security Ass.",14192606
"950315",1994,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",22669
"952166",1994,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",5056426
"955123",1993,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",135564
"956860",1993,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",1129700
"957268",1994,"France","Croatia","Other","IV.2. Other Multisector",2505
"958621",1993,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",1694550
"959457",1994,"Italy","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",782150
"964153",1993,"Italy","Croatia","","III.2.a. Industry",6355694
"964154",1993,"Italy","Croatia","","IV.1. General Environment Protection",5083651
"965963",1994,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",1636593
"970520",1991,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",4550
"970627",1993,"Italy","Croatia","","III.2.a. Industry",263220
"970946",1994,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",707900
"974189",1993,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",956048
"978180",1992,"Switzerland","Croatia","Secondary education","I.1.d. Post-Secondary Education",9410
"978642",2006,"Belgium","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",5345486
"979310",1998,"France","Croatia","","I.1.a. Education, Level Unspecified",7905
"979476",2000,"Austria","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",12180
"979820",2005,"Germany","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",1209468
"979962",2008,"Germany","Croatia","Government and civil society, general","I.1.c. Secondary Education",119501
"980224",2002,"United States","Croatia","Business and other services","II.3. Energy",245907
"980406",2000,"United States","Croatia","Business and other services","II.5. Business & Other Services",396080
"980677",2006,"Austria","Croatia","Unallocated/  unspecified","I.1.a. Education, Level Unspecified",15470
"980908",2001,"Canada","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",451981
"981003",2002,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",369818
"981392",2007,"United Kingdom","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",8177
"981724",2005,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",3283
"982062",2001,"Italy","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",5296
"982067",2003,"Norway","Croatia","Agriculture","III.1.a. Agriculture",431870
"982080",2006,"United Nations Children`s Fund (UNICEF)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",1889
"982168",2007,"Japan","Croatia","","VII. Action Relating to Debt",9119717
"982561",1995,"Sweden","Croatia","Emergency response","VIII.1. Emergency Response",16415
"983216",2001,"Austria","Croatia","","I.1.d. Post-Secondary Education",5784347
"983283",1999,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","I.5.a. Government & Civil Society-general",1693913
"983620",2004,"United States","Croatia","General environmental protection","IV.1. General Environment Protection",122980
"984463",2005,"Germany","Croatia","","II.5. Business & Other Services",32437
"984560",2005,"United Nations Children`s Fund (UNICEF)","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",287940
"984794",2002,"Greece","Croatia","Secondary education","I.1.d. Post-Secondary Education",3711
"984880",1997,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",9230
"984900",1999,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",83685
"985247",2005,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3515122
"985634",2006,"Joint United Nations Programme on HIV/AIDS (UNAIDS)","Croatia","","I.3. Population Pol./Progr. & Reproductive Health",89117
"985671",1999,"Austria","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",159108
"985769",2004,"Norway","Croatia","Refugees in donor countries","XI. Refugees in Donor Countries",7210
"985834",2005,"United States","Croatia","Other","IV.2. Other Multisector",11336
"986208",2006,"Norway","Croatia","Agriculture","III.1.a. Agriculture",733798
"986395",2005,"Australia","Croatia","Unallocated/  unspecified","I.5.b. Conflict, Peace & Security",1324
"986439",2001,"Sweden","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",5810
"986502",2001,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",36625
"986846",2008,"Germany","Croatia","","I.1.a. Education, Level Unspecified",9901
"986925",2000,"United Kingdom","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",519568
"987696",2005,"United States","Croatia","Other","IV.2. Other Multisector",147366
"987759",2003,"Norway","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",5411
"987916",2008,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",16406
"988357",2008,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",722
"988644",2003,"Japan","Croatia","","III.3.a. Trade Policies & Regulations",69724
"988671",2006,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",41746
"989337",2003,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",282990
"989501",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",6549
"990117",1999,"Germany","Croatia","","I.1.d. Post-Secondary Education",7876
"990283",2003,"France","Croatia","Other","IV.2. Other Multisector",23957
"990412",2007,"Germany","Croatia","","XI. Refugees in Donor Countries",43162
"990620",2004,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",599119
"991000",2007,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2454
"991076",2006,"Germany","Croatia","OTHER SOCIAL INFRASTRUCTURE AND SERVICES","I.1.d. Post-Secondary Education",1028
"991162",2003,"Norway","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",18937
"991185",2002,"Germany","Croatia","","II.5. Business & Other Services",604748
"991288",2003,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",9467595
"991739",2007,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1272660
"992539",2002,"European Communities (EC)","Croatia","Transport and storage","II.1. Transport & Storage",32255684
"993137",2007,"European Communities (EC)","Croatia","Energy generation and supply","II.3. Energy",1563341
"993860",2003,"Norway","Croatia","General environmental protection","IV.1. General Environment Protection",270536
"993984",1998,"Austria","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",19716
"994046",2000,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1829472
"995455",2007,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",31053
"995661",2004,"Norway","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",77794
"995663",2005,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",77061
"995905",2005,"Japan","Croatia","Unallocated/  unspecified","III.3.a. Trade Policies & Regulations",23167
"996109",2004,"Canada","Croatia","Construction","I.6. Other Social Infrastructure & Services",144877
"996164",2004,"Austria","Croatia","Unallocated/  unspecified","I.5.a. Government & Civil Society-general",7903
"996241",2003,"Switzerland","Croatia","","I.1.c. Secondary Education",118187
"996564",1998,"Italy","Croatia","Other","IV.2. Other Multisector",151021
"996565",2006,"Norway","Croatia","Emergency response","VIII.1. Emergency Response",156903
"996598",2004,"European Communities (EC)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",14092733
"996693",2004,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",2814540
"996814",2000,"Norway","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",834239
"996849",2001,"Germany","Croatia","","I.1.d. Post-Secondary Education",147697
"996895",2005,"Switzerland","Croatia","Other","IV.2. Other Multisector",17050
"997718",1995,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",214106
"997871",2004,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",7809
"998321",2005,"Belgium","Croatia","Multisector","I.1.c. Secondary Education",3919
"998530",2007,"Japan","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",40503
"998657",2005,"Germany","Croatia","Conflict prevention and resolution, peace and security","II.4. Banking & Financial Services",29408
"999019",2004,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",103620
"999117",2007,"France","Croatia","Other","IV.2. Other Multisector",45397
"999122",2005,"United Nations Development Programme (UNDP)","Croatia","Other","IV.2. Other Multisector",58
"999161",2005,"Italy","Croatia","","I.1.d. Post-Secondary Education",16954
"999523",2000,"Netherlands","Croatia","Emergency response","VIII.2. Reconstruction Relief & Rehabilitation",1131138
"999643",2002,"Norway","Croatia","Agriculture","III.1.a. Agriculture",5567454
"999656",2000,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",5037
"999788",1997,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",393112
"1000128",1998,"Sweden","Croatia","Other","I.5.b. Conflict, Peace & Security",37227
"1000718",1998,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",14136
"1001041",2006,"Greece","Croatia","","I.1.d. Post-Secondary Education",30951
"1001190",2002,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1868896
"1001403",2003,"United States","Croatia","Mineral resources and mining","III.2.b. Mineral Resources & Mining",505769
"1001669",2007,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3375
"1001846",2003,"European Communities (EC)","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",47337977
"1003353",2004,"Germany","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",399503
"1003876",2004,"Italy","Croatia","Fishing","III.1.c. Fishing",2900686
"1003975",2004,"Switzerland","Croatia","Emergency response","IV.2. Other Multisector",1221
"1004150",2008,"France","Croatia","","IX. Administrative Costs of Donors",861
"1004167",1998,"Netherlands","Croatia","Emergency response","VIII.1. Emergency Response",352549
"1004253",2003,"Italy","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",462
"1004342",2008,"Italy","Croatia","Secondary education","I.1.d. Post-Secondary Education",3577
"1004474",2008,"Germany","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",17175867
"1004547",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",49613
"1004675",2007,"Greece","Croatia","Other","IV.2. Other Multisector",1568
"1004737",2000,"Finland","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",74174
"1005136",2007,"European Communities (EC)","Croatia","Basic education","I.1.b. Basic Education",1252096
"1005738",2003,"United States","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",60211
"1005826",1999,"Italy","Croatia","Emergency response","VIII.1. Emergency Response",18515
"1005914",2006,"Greece","Croatia","Other","IV.2. Other Multisector",8493
"1005955",2001,"Sweden","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",74443
"1006021",2004,"Japan","Croatia","Transport and storage","II.3. Energy",35048
"1006152",2008,"Finland","Croatia","","IX. Administrative Costs of Donors",108746
"1006584",2001,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",158861
"1006916",2006,"Austria","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",5070
"1006987",2000,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1387614
"1007063",2002,"Switzerland","Croatia","Other","IV.2. Other Multisector",83166
"1007308",2007,"Finland","Croatia","Support to non- governmental organisations (ngos) and government organizations","X. Support to NGO's",52633
"1007492",2004,"Switzerland","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",111100
"1007717",2005,"Spain","Croatia","","I.1.c. Secondary Education",2361
"1008111",2007,"United States","Croatia","Other","IV.2. Other Multisector",57415
"1008533",2000,"Italy","Croatia","Other","IV.2. Other Multisector",1053
"1008621",2007,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",23979
"1008634",2004,"France","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",47949
"1008691",2004,"United States","Croatia","Other","IV.2. Other Multisector",8199
"1009114",1996,"Sweden","Croatia","","VIII.1. Emergency Response",235918
"1009510",2000,"Germany","Croatia","","I.5.a. Government & Civil Society-general",374815
"1009588",1997,"Finland","Croatia","Emergency response","VIII.1. Emergency Response",88264
"1009620",2008,"Germany","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",565615
"1009654",2001,"United States","Croatia","Emergency response","VIII.1. Emergency Response",293619
"1009849",2000,"Germany","Croatia","Other","IV.2. Other Multisector",2384
"1010173",2006,"United States","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",8785
"1011178",1998,"European Communities (EC)","Croatia","Emergency response","VIII.1. Emergency Response",12324897
"1011435",1999,"France","Croatia","","II.2. Communications",30185
"1011524",2006,"Germany","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",362
"1012068",2008,"Belgium","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",51141
"1012758",2004,"France","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",29013
"1012902",1999,"Spain","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",143090
"1013295",2006,"United States","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",25256
"1013879",2004,"Austria","Croatia","Unallocated/  unspecified","XI. Refugees in Donor Countries",13169
"1014068",2005,"United Kingdom","Croatia","","I.6. Other Social Infrastructure & Services",40864
"1014160",2001,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",1093743
"1014421",1998,"France","Croatia","","I.1.a. Education, Level Unspecified",14492
"1014620",2005,"Norway","Croatia","Other social infrastructure and services","I.5.a. Government & Civil Society-general",292137
"1014778",1999,"Netherlands","Croatia","Emergency response","I.6. Other Social Infrastructure & Services",663296
"1015297",1998,"Italy","Croatia","Business and other services","II.5. Business & Other Services",72161
"1015331",2007,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",68081
"1015367",2008,"United States","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",1043986
"1015678",2004,"Austria","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",520164
"1015785",2006,"France","Croatia","Other","IV.2. Other Multisector",17142
"1015789",1997,"Italy","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",227353
"1016244",2004,"Germany","Croatia","Other","IV.2. Other Multisector",710227
"1016853",2001,"Switzerland","Croatia","Tourism","I.5.a. Government & Civil Society-general",199822
"1017935",2007,"European Communities (EC)","Croatia","Health, general","I.2.a. Health, General",2554479
"1019562",2005,"Spain","Croatia","","I.1.d. Post-Secondary Education",276
"1020349",2005,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",9602
"1020448",2007,"Japan","Croatia","Unallocated/  unspecified","III.3.a. Trade Policies & Regulations",25234
"1020472",1999,"Switzerland","Croatia","Agriculture","III.1.a. Agriculture",310596
"1021223",1996,"Italy","Croatia","","I.1.d. Post-Secondary Education",8930
"1021572",2003,"European Communities (EC)","Croatia","Other","IV.2. Other Multisector",3944831
"1021620",1998,"Belgium","Croatia","Emergency response","VIII.1. Emergency Response",313308
"1021809",2002,"United States","Croatia","Other social infrastructure and services","I.2.b. Basic Health",73772
"1021887",2008,"Germany","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",627185
"1022592",1995,"Germany","Croatia","Emergency response","VIII.1. Emergency Response",2714164
"1022745",2004,"France","Croatia","","I.1.d. Post-Secondary Education",50957
"1022781",2003,"European Communities (EC)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",23668988
"1023614",2003,"Greece","Croatia","","IV.1. General Environment Protection",38021
"1023741",2000,"European Communities (EC)","Croatia","","IX. Administrative Costs of Donors",1439962
"1023811",2004,"European Communities (EC)","Croatia","General environmental protection","IV.1. General Environment Protection",28851
"1023855",2005,"Germany","Croatia","","I.1.a. Education, Level Unspecified",147629
"1023993",2001,"Portugal","Croatia","","IX. Administrative Costs of Donors",962
"1024067",1995,"France","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",10305
"1024768",2003,"Germany","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",1465591
"1024777",2004,"United Nations Development Programme (UNDP)","Croatia","","IV.1. General Environment Protection",14594
"1024870",2004,"Switzerland","Croatia","Other social infrastructure and services","III.1.a. Agriculture",489573
"1025137",2006,"Austria","Croatia","Education, level unspecified","I.1.a. Education, Level Unspecified",53323
"1025569",2001,"Norway","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",40876
"1025935",2008,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",73634
"1026221",2006,"United States","Croatia","Other","IV.2. Other Multisector",285507
"1026352",2005,"Japan","Croatia","Unallocated/  unspecified","IV.1. General Environment Protection",31034
"1028331",2010,"Belgium","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",4018
"1029287",2010,"United Kingdom","Croatia","","I.5.a. Government & Civil Society-general",214365
"1029290",2010,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",16462
"1029293",2010,"United Kingdom","Croatia","","I.1.a. Education, Level Unspecified",24814
"1029296",2010,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",3292
"1029298",2010,"United Kingdom","Croatia","Business and other services","II.5. Business & Other Services",5013
"1029302",2010,"United Kingdom","Croatia","General environmental protection","IV.1. General Environment Protection",1483
"1029304",2010,"United Kingdom","Croatia","Business and other services","II.5. Business & Other Services",1225
"1029307",2010,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",2120
"1029311",2010,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",826
"1029314",2010,"United Kingdom","Croatia","General environmental protection","IV.1. General Environment Protection",576
"1029317",2010,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",68999
"1029320",2010,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",49
"1029322",2010,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",35064
"1029325",2010,"United Kingdom","Croatia","","I.5.a. Government & Civil Society-general",12717
"1029328",2010,"United Kingdom","Croatia","","I.1.d. Post-Secondary Education",222898
"1029331",2010,"United Kingdom","Croatia","","I.1.a. Education, Level Unspecified",12727
"1029335",2010,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",176305
"1029337",2010,"United Kingdom","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",96219
"1029340",2010,"United Kingdom","Croatia","","I.1.a. Education, Level Unspecified",10196
"1029344",2010,"United Kingdom","Croatia","","I.1.d. Post-Secondary Education",212188
"1035891",2010,"France","Croatia","","XII. Unallocated / Unspecified",106376
"1035894",2010,"France","Croatia","","I.1.b. Basic Education",81877
"1035899",2010,"France","Croatia","","XII. Unallocated / Unspecified",981967
"1035904",2010,"France","Croatia","","IX. Administrative Costs of Donors",798449
"1035908",2010,"France","Croatia","","XII. Unallocated / Unspecified",289231
"1035913",2010,"France","Croatia","","I.1.d. Post-Secondary Education",293097
"1035917",2010,"France","Croatia","","III.1.a. Agriculture",124834
"1037102",2010,"United Nations Development Programme (UNDP)","Croatia","","I.5.a. Government & Civil Society-general",56188
"1037107",2010,"United Nations Development Programme (UNDP)","Croatia","Other","IV.2. Other Multisector",31277
"1037112",2010,"United Nations Development Programme (UNDP)","Croatia","Other","IV.2. Other Multisector",90935
"1037117",2010,"United Nations Development Programme (UNDP)","Croatia","","VIII.2. Reconstruction Relief & Rehabilitation",931
"1037122",2010,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",10922
"1037124",2010,"United Nations Development Programme (UNDP)","Croatia","","I.5.b. Conflict, Peace & Security",85271
"1037129",2010,"United Nations Development Programme (UNDP)","Croatia","","I.5.a. Government & Civil Society-general",8226
"1037134",2010,"United Nations Development Programme (UNDP)","Croatia","","I.5.a. Government & Civil Society-general",84622
"1037143",2010,"United Nations Development Programme (UNDP)","Croatia","","I.5.b. Conflict, Peace & Security",137077
"1037149",2010,"United Nations Development Programme (UNDP)","Croatia","","I.5.b. Conflict, Peace & Security",9282
"1037153",2010,"United Nations Development Programme (UNDP)","Croatia","","VIII.2. Reconstruction Relief & Rehabilitation",59694
"1037158",2010,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",9737
"1037162",2010,"United Nations Development Programme (UNDP)","Croatia","Energy generation and supply","II.3. Energy",64373
"1037166",2010,"United Nations Development Programme (UNDP)","Croatia","","I.5.a. Government & Civil Society-general",4055
"1037171",2010,"United Nations Development Programme (UNDP)","Croatia","Other social infrastructure and services","I.6. Other Social Infrastructure & Services",96836
"1037176",2010,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",89452
"1037181",2010,"United Nations Development Programme (UNDP)","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",26633
"1037186",2010,"United Nations Development Programme (UNDP)","Croatia","Reconstruction relief","VIII.2. Reconstruction Relief & Rehabilitation",90541
"1042076",2010,"France","Croatia","","I.1.b. Basic Education",8455
"1042081",2010,"France","Croatia","","I.1.a. Education, Level Unspecified",1409
"1042086",2010,"France","Croatia","","II.5. Business & Other Services",4228
"1042090",2010,"France","Croatia","Other","IV.2. Other Multisector",2818
"1042095",2010,"France","Croatia","","III.1.c. Fishing",7046
"1042101",2010,"France","Croatia","Other","IV.2. Other Multisector",8455
"1042106",2010,"France","Croatia","Other","IV.2. Other Multisector",3641
"1042111",2010,"France","Croatia","Administrative costs of donors","IX. Administrative Costs of Donors",4025
"1042114",2010,"France","Croatia","","III.3.b. Tourism",1409
"1042119",2010,"France","Croatia","","III.3.b. Tourism",3741
"1042124",2010,"France","Croatia","","I.1.d. Post-Secondary Education",6200
"1043910",2010,"United Nations Children`s Fund (UNICEF)","Croatia","","I.2.b. Basic Health",618
"1044228",2010,"Norway","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",189631
"1044276",2010,"Norway","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",1896117
"1046399",2010,"France","Croatia","","I.5.a. Government & Civil Society-general",17305
"1049018",2010,"France","Croatia","","I.2.a. Health, General",73137
"1049023",2010,"France","Croatia","","I.1.d. Post-Secondary Education",700061
"1053350",2010,"Korea","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",15238
"1054312",2010,"France","Croatia","","I.5.b. Conflict, Peace & Security",321893
"1058548",2010,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",23258
"1058549",2010,"Sweden","Croatia","Government and civil society, general","I.5.a. Government & Civil Society-general",85809
"1062525",2010,"Spain","Croatia","","I.1.d. Post-Secondary Education",84390
"1062526",2010,"Spain","Croatia","","IV.1. General Environment Protection",15245
"1062528",2010,"Spain","Croatia","","II.4. Banking & Financial Services",15245
"1062529",2010,"Spain","Croatia","","I.6. Other Social Infrastructure & Services",30489
"1062531",2010,"Spain","Croatia","","I.2.a. Health, General",15245
"1062532",2010,"Spain","Croatia","","I.1.d. Post-Secondary Education",5054
"1062534",2010,"Spain","Croatia","","I.2.a. Health, General",5054
"1062536",2010,"Spain","Croatia","","III.2.a. Industry",6457
"1062537",2010,"Spain","Croatia","","I.6. Other Social Infrastructure & Services",16284
"1062538",2010,"Spain","Croatia","","I.1.d. Post-Secondary Education",6457
"1062540",2010,"Spain","Croatia","","IV.1. General Environment Protection",5054
"1062542",2010,"Spain","Croatia","","IX. Administrative Costs of Donors",1029
"1062543",2010,"Spain","Croatia","","I.6. Other Social Infrastructure & Services",15161
"1062545",2010,"Spain","Croatia","","IV.1. General Environment Protection",15245
"1062547",2010,"Spain","Croatia","","I.6. Other Social Infrastructure & Services",15161
"1064549",2010,"Japan","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",370163
"1064551",2010,"Japan","Croatia","Health, general","I.2.a. Health, General",46352
"1064554",2010,"Japan","Croatia","Construction","III.2.c. Construction",117436
"1064556",2010,"Japan","Croatia","Conflict prevention and resolution, peace and security","I.5.b. Conflict, Peace & Security",370019
"1064558",2010,"Japan","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",118397
"1064560",2010,"Japan","Croatia","Health, general","I.2.a. Health, General",119154
"1064563",2010,"Japan","Croatia","Transport and storage","II.1. Transport & Storage",88908
"1064565",2010,"Japan","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",13653
"1064567",2010,"Japan","Croatia","Unallocated/  unspecified","I.1.a. Education, Level Unspecified",1206
"1064570",2010,"Japan","Croatia","Unallocated/  unspecified","I.1.a. Education, Level Unspecified",12708
"1064573",2010,"Japan","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",28886
"1064576",2010,"Japan","Croatia","Unallocated/  unspecified","I.6. Other Social Infrastructure & Services",38398
"1067683",2010,"Spain","Croatia","Water supply and sanitation","I.4. Water Supply & Sanitation",87384
"1068338",2010,"Spain","Croatia","","I.5.a. Government & Civil Society-general",658
"1071232",2010,"Spain","Croatia","Unallocated/  unspecified","XII. Unallocated / Unspecified",83509
"1071233",2010,"Spain","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",534
"1071236",2010,"Spain","Croatia","Post-secondary education","I.1.d. Post-Secondary Education",43891
